dag8.txt 3_2x2.txt 0.22058823529411764 1 1466368.0 [3, 1, 0, 2, 2, 2, 0, 0, 2, 2, 0, 2, 2, 0, 0, 0, 3, 2, 2, 0, 2, 2, 2, 3, 0, 0, 0, 2, 0, 2, 0, 2, 0, 3, 3, 2, 2, 2, 3, 0, 3, 3, 3, 2, 3, 0, 3, 2, 3, 0, 0, 3, 0, 3, 3, 3, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 3, 1, 0, 0, 0, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1] 
dag8.txt 3_2x1.txt 0.11029411764705882 1 2932736.0 [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] 
dag8.txt 3_2x5.txt 0.35294117647058826 1 581632.0 [0, 4, 7, 6, 8, 6, 2, 9, 6, 9, 2, 8, 5, 9, 6, 4, 0, 8, 6, 7, 6, 8, 5, 0, 2, 7, 9, 5, 2, 8, 2, 9, 2, 0, 0, 6, 6, 6, 0, 2, 0, 0, 0, 8, 9, 5, 9, 8, 9, 8, 8, 9, 5, 5, 5, 9, 5, 7, 9, 7, 5, 7, 7, 9, 7, 5, 5, 4, 7, 2, 3, 3, 3, 4, 4, 4, 4, 9, 1, 1, 1, 7, 1, 1, 3, 3, 3, 3, 1, 0, 1, 3, 1] 
dag8.txt 5_4_3_2x1.txt 0.25 1 1449984.0 [3, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 3, 1, 3, 0, 0, 1, 0, 0, 0, 3, 1, 1, 1, 3, 1, 0, 1, 0, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0, 3, 0, 3, 0, 3, 0, 0, 3, 0, 3, 3, 3, 3, 1, 3, 1, 3, 1, 1, 3, 1, 3, 3, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2] 
dag8.txt 4_1x3.txt 0.3014705882352941 1 1949696.0 [5, 1, 3, 0, 4, 0, 5, 4, 0, 4, 3, 4, 2, 2, 3, 3, 2, 4, 0, 3, 0, 4, 4, 2, 5, 3, 2, 2, 3, 4, 2, 4, 2, 2, 2, 3, 2, 0, 2, 5, 5, 2, 2, 4, 4, 4, 2, 4, 5, 4, 5, 2, 5, 5, 5, 5, 5, 3, 5, 3, 5, 2, 3, 2, 3, 0, 0, 1, 3, 4, 4, 3, 3, 1, 3, 0, 0, 4, 0, 0, 0, 3, 1, 1, 4, 1, 1, 1, 1, 5, 5, 1, 1] 
dag8.txt 3_2x4.txt 0.34558823529411764 1 737280.0 [6, 4, 0, 5, 2, 1, 4, 2, 1, 7, 0, 2, 1, 6, 1, 0, 6, 7, 1, 0, 1, 2, 1, 6, 4, 0, 2, 1, 0, 7, 0, 7, 2, 6, 6, 1, 1, 1, 3, 3, 3, 3, 3, 7, 3, 2, 3, 2, 5, 2, 2, 6, 2, 3, 5, 6, 3, 0, 6, 0, 3, 5, 0, 5, 5, 1, 6, 0, 5, 2, 2, 0, 6, 4, 6, 6, 6, 2, 6, 7, 7, 0, 4, 4, 2, 4, 2, 5, 4, 3, 4, 2, 2] 
dag8.txt 5_4_3_2x2.txt 0.33088235294117646 1 729088.0 [4, 6, 5, 7, 3, 7, 6, 3, 7, 3, 6, 3, 7, 1, 5, 5, 1, 1, 7, 5, 7, 3, 7, 1, 6, 5, 3, 7, 6, 1, 6, 3, 6, 5, 2, 7, 7, 7, 7, 6, 4, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 4, 3, 4, 3, 5, 4, 5, 4, 5, 5, 1, 5, 4, 4, 2, 5, 3, 3, 0, 0, 0, 2, 2, 2, 3, 2, 3, 2, 6, 2, 2, 3, 0, 0, 0, 0, 4, 0, 0, 0] 
dag8.txt 4_1x5.txt 0.33088235294117646 1 1163264.0 [8, 1, 6, 5, 3, 5, 1, 3, 5, 4, 6, 3, 2, 3, 6, 6, 5, 4, 5, 6, 5, 3, 3, 5, 1, 6, 3, 2, 6, 4, 1, 4, 1, 5, 2, 2, 2, 2, 2, 1, 8, 2, 2, 4, 4, 3, 2, 3, 2, 3, 3, 2, 3, 8, 2, 8, 8, 6, 8, 6, 8, 0, 6, 2, 0, 5, 5, 9, 0, 1, 9, 0, 0, 0, 0, 7, 7, 3, 7, 4, 7, 1, 7, 7, 9, 0, 9, 9, 7, 8, 9, 9, 9] 
dag8.txt 3_2x3.txt 0.3235294117647059 1 974848.0 [2, 4, 5, 0, 0, 1, 4, 4, 0, 0, 5, 1, 1, 4, 5, 4, 0, 0, 0, 5, 1, 1, 1, 0, 4, 5, 4, 1, 5, 0, 4, 0, 4, 0, 4, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0, 1, 1, 4, 1, 1, 4, 2, 1, 2, 2, 5, 2, 5, 2, 5, 5, 1, 5, 1, 1, 4, 5, 4, 4, 5, 5, 5, 4, 2, 3, 4, 3, 0, 3, 5, 3, 3, 4, 5, 3, 3, 3, 2, 3, 3, 3] 
dag8.txt 5_4_3_2x5.txt 0.47794117647058826 1 270336.0 [12, 9, 8, 18, 13, 10, 9, 19, 18, 16, 4, 2, 18, 15, 17, 17, 12, 15, 18, 17, 10, 13, 13, 12, 9, 8, 19, 18, 4, 19, 11, 16, 11, 12, 0, 18, 18, 10, 0, 9, 0, 0, 0, 16, 16, 13, 16, 2, 2, 19, 2, 0, 2, 12, 2, 0, 2, 8, 0, 8, 2, 8, 8, 2, 8, 6, 6, 1, 4, 14, 14, 4, 4, 1, 1, 5, 5, 19, 5, 19, 5, 8, 7, 1, 14, 14, 14, 3, 7, 6, 7, 3, 3] 
dag8.txt 4_1x1.txt 0.10294117647058823 1 5865472.0 [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] 
dag8.txt 5_4_3_2x3.txt 0.38235294117647056 1 458752.0 [8, 0, 2, 1, 6, 1, 0, 3, 1, 6, 7, 3, 1, 9, 7, 7, 8, 3, 1, 7, 1, 3, 1, 3, 0, 2, 9, 1, 2, 3, 0, 6, 0, 8, 8, 9, 9, 9, 8, 0, 8, 8, 8, 6, 6, 3, 9, 3, 9, 3, 3, 8, 3, 5, 5, 8, 5, 2, 8, 7, 5, 2, 2, 9, 2, 5, 5, 10, 2, 10, 10, 2, 2, 10, 10, 11, 11, 6, 11, 6, 11, 2, 11, 10, 10, 4, 4, 4, 10, 5, 10, 4, 10] 
dag8.txt 4_1x4.txt 0.34558823529411764 1 1474560.0 [6, 4, 0, 5, 2, 1, 4, 2, 1, 7, 0, 2, 1, 6, 1, 0, 6, 7, 1, 0, 1, 2, 1, 6, 4, 0, 2, 1, 0, 7, 0, 7, 2, 6, 6, 1, 1, 1, 3, 3, 3, 3, 3, 7, 3, 2, 3, 2, 5, 2, 2, 6, 2, 3, 5, 6, 3, 0, 6, 0, 3, 5, 0, 5, 5, 1, 6, 0, 5, 2, 2, 0, 6, 4, 6, 6, 6, 2, 6, 7, 7, 0, 4, 4, 2, 4, 2, 5, 4, 3, 4, 2, 2] 
dag8.txt 4_1x2.txt 0.19852941176470587 1 2932736.0 [3, 2, 1, 1, 0, 1, 2, 0, 1, 0, 2, 0, 1, 0, 1, 1, 3, 0, 1, 1, 1, 0, 1, 3, 2, 1, 0, 1, 2, 0, 2, 0, 0, 3, 3, 1, 1, 1, 3, 3, 3, 3, 3, 0, 0, 1, 0, 0, 2, 0, 0, 3, 0, 3, 0, 3, 3, 1, 3, 1, 3, 1, 1, 2, 1, 1, 3, 2, 2, 0, 0, 2, 2, 2, 2, 3, 3, 0, 3, 0, 0, 0, 0, 3, 0, 2, 2, 2, 3, 3, 3, 2, 3] 
dag8.txt 3_2x2.txt 0.23529411764705882 1 1466368.0 [0, 1, 1, 2, 2, 2, 1, 3, 2, 3, 1, 2, 2, 0, 2, 3, 0, 3, 2, 1, 2, 2, 2, 0, 1, 1, 3, 2, 1, 3, 1, 3, 3, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 2, 3, 2, 3, 2, 3, 3, 0, 3, 0, 2, 0, 2, 1, 2, 1, 2, 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 1, 1, 1, 1, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 1, 1, 1, 3, 0, 3, 1, 3] 
dag8.txt 5_4_3_2x1.txt 0.27941176470588236 1 1449984.0 [2, 0, 0, 3, 1, 3, 0, 1, 3, 2, 0, 1, 1, 1, 1, 1, 2, 2, 3, 1, 3, 1, 1, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 3, 3, 0, 3, 1, 3, 2, 1, 1, 1, 3, 3, 0, 1, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 3, 3, 0, 3, 3, 0, 0, 0, 0, 3, 3, 3, 0, 0] 
dag8.txt 5_4_3_2x4.txt 0.4264705882352941 1 335872.0 [10, 1, 13, 2, 7, 2, 14, 0, 2, 7, 1, 4, 5, 10, 13, 13, 3, 0, 2, 13, 2, 4, 4, 10, 14, 13, 10, 5, 14, 0, 14, 0, 14, 3, 3, 5, 5, 5, 3, 1, 3, 3, 3, 7, 7, 4, 3, 4, 4, 0, 4, 10, 4, 11, 4, 10, 11, 13, 10, 6, 11, 6, 6, 4, 6, 5, 5, 9, 6, 9, 9, 9, 9, 9, 9, 15, 15, 0, 15, 0, 8, 14, 8, 15, 9, 9, 12, 12, 8, 11, 8, 12, 8] 
dag8.txt 4_1x3.txt 0.3161764705882353 1 1966080.0 [1, 2, 5, 4, 4, 4, 0, 0, 4, 0, 2, 4, 4, 1, 5, 0, 1, 0, 4, 5, 4, 4, 4, 1, 0, 5, 0, 4, 5, 0, 0, 0, 0, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 4, 0, 0, 3, 4, 3, 0, 3, 1, 3, 3, 3, 3, 3, 5, 1, 5, 1, 1, 5, 1, 1, 4, 4, 5, 1, 0, 0, 5, 1, 2, 2, 1, 2, 0, 5, 5, 5, 5, 5, 5, 0, 2, 2, 2, 5, 3, 5, 2, 5] 
dag8.txt 3_2x1.txt 0.11029411764705882 1 2932736.0 [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] 
dag8.txt 3_2x5.txt 0.33088235294117646 1 589824.0 [8, 6, 1, 7, 5, 7, 9, 5, 7, 4, 9, 5, 8, 5, 1, 1, 8, 4, 7, 1, 7, 5, 5, 8, 9, 1, 5, 8, 9, 4, 9, 4, 1, 8, 8, 7, 8, 7, 8, 9, 8, 8, 8, 4, 4, 5, 2, 5, 2, 5, 5, 8, 5, 2, 2, 8, 2, 1, 8, 1, 2, 6, 1, 2, 6, 2, 2, 3, 6, 1, 1, 9, 6, 6, 6, 3, 3, 5, 3, 4, 3, 1, 3, 3, 0, 0, 0, 0, 3, 2, 0, 0, 0] 
dag8.txt 3_2x4.txt 0.34558823529411764 1 737280.0 [6, 4, 0, 5, 2, 1, 4, 2, 1, 7, 0, 2, 1, 6, 1, 0, 6, 7, 1, 0, 1, 2, 1, 6, 4, 0, 2, 1, 0, 7, 0, 7, 2, 6, 6, 1, 1, 1, 3, 3, 3, 3, 3, 7, 3, 2, 3, 2, 5, 2, 2, 6, 2, 3, 5, 6, 3, 0, 6, 0, 3, 5, 0, 5, 5, 1, 6, 0, 5, 2, 2, 0, 6, 4, 6, 6, 6, 2, 6, 7, 7, 0, 4, 4, 2, 4, 2, 5, 4, 3, 4, 2, 2] 
dag8.txt 5_4_3_2x2.txt 0.34558823529411764 1 729088.0 [5, 1, 0, 3, 4, 2, 1, 4, 2, 7, 0, 4, 2, 5, 2, 0, 5, 7, 2, 0, 2, 4, 2, 5, 1, 0, 4, 2, 0, 7, 0, 7, 4, 5, 5, 2, 2, 2, 6, 6, 6, 6, 6, 7, 6, 4, 6, 4, 3, 4, 4, 5, 4, 6, 3, 5, 6, 0, 5, 0, 6, 3, 0, 3, 3, 2, 5, 0, 3, 4, 4, 0, 5, 1, 5, 5, 5, 4, 5, 7, 7, 0, 1, 1, 4, 1, 4, 3, 1, 6, 1, 4, 4] 
dag8.txt 4_1x5.txt 0.33088235294117646 1 1146880.0 [8, 2, 9, 4, 1, 4, 9, 1, 4, 6, 9, 1, 8, 1, 0, 0, 8, 6, 4, 0, 4, 1, 1, 8, 9, 9, 1, 8, 9, 6, 9, 6, 3, 8, 8, 8, 8, 4, 8, 9, 8, 8, 8, 6, 6, 1, 5, 1, 5, 1, 1, 5, 1, 5, 5, 8, 5, 9, 5, 0, 5, 0, 0, 5, 0, 4, 5, 3, 0, 3, 3, 2, 2, 2, 2, 2, 2, 1, 3, 6, 3, 3, 3, 3, 7, 2, 7, 7, 3, 5, 7, 7, 7] 
dag8.txt 3_2x3.txt 0.27941176470588236 1 983040.0 [3, 5, 2, 5, 4, 4, 5, 1, 5, 1, 5, 4, 4, 1, 2, 2, 3, 1, 5, 2, 4, 4, 4, 3, 5, 2, 1, 4, 5, 1, 5, 1, 1, 3, 3, 4, 4, 4, 3, 5, 3, 3, 3, 4, 1, 4, 1, 4, 1, 1, 1, 3, 1, 3, 1, 3, 3, 2, 3, 2, 3, 2, 2, 1, 2, 4, 2, 2, 5, 1, 2, 5, 5, 2, 2, 3, 2, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0] 
dag8.txt 5_4_3_2x5.txt 0.47058823529411764 1 278528.0 [17, 13, 11, 18, 15, 6, 16, 8, 18, 2, 4, 8, 18, 0, 19, 9, 11, 2, 18, 19, 6, 8, 8, 17, 16, 19, 0, 18, 4, 17, 16, 2, 0, 11, 0, 18, 18, 6, 18, 16, 3, 0, 3, 15, 14, 8, 14, 8, 14, 8, 8, 0, 8, 10, 8, 3, 12, 11, 3, 19, 12, 11, 11, 7, 11, 10, 10, 9, 7, 9, 9, 4, 4, 13, 4, 1, 1, 8, 1, 5, 5, 11, 5, 1, 9, 13, 9, 14, 5, 12, 12, 14, 12] 
dag8.txt 4_1x1.txt 0.11029411764705882 1 5865472.0 [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] 
dag8.txt 5_4_3_2x3.txt 0.375 1 458752.0 [8, 11, 5, 10, 1, 1, 11, 6, 10, 6, 0, 1, 8, 10, 8, 0, 8, 10, 10, 0, 2, 1, 1, 8, 11, 0, 10, 8, 0, 6, 11, 6, 5, 8, 8, 8, 8, 2, 8, 11, 3, 3, 3, 6, 6, 1, 3, 1, 3, 6, 1, 8, 1, 3, 3, 8, 3, 5, 8, 0, 2, 5, 5, 8, 5, 2, 2, 9, 5, 9, 9, 0, 5, 9, 9, 9, 9, 6, 9, 7, 7, 5, 7, 9, 9, 4, 4, 4, 7, 2, 7, 4, 7] 
dag8.txt 4_1x4.txt 0.33088235294117646 1 1474560.0 [2, 3, 6, 7, 5, 7, 3, 5, 7, 5, 3, 5, 7, 4, 6, 6, 4, 4, 7, 6, 7, 5, 7, 4, 3, 6, 5, 7, 3, 4, 3, 5, 3, 6, 1, 7, 7, 7, 7, 3, 2, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 2, 5, 2, 5, 6, 2, 6, 2, 6, 6, 4, 6, 2, 2, 1, 6, 5, 5, 0, 0, 0, 1, 1, 1, 5, 1, 5, 1, 3, 1, 1, 5, 0, 0, 0, 0, 2, 0, 0, 0] 
dag8.txt 4_1x2.txt 0.22058823529411764 1 2932736.0 [1, 0, 0, 2, 2, 2, 0, 3, 2, 2, 0, 2, 2, 3, 2, 2, 1, 3, 2, 2, 2, 2, 2, 1, 0, 0, 3, 2, 0, 3, 0, 3, 0, 1, 1, 2, 2, 2, 1, 0, 1, 1, 1, 2, 2, 2, 2, 3, 2, 3, 3, 1, 2, 1, 2, 1, 1, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 1, 3, 3, 3] 
dag8.txt 3_2x2.txt 0.23529411764705882 1 1474560.0 [0, 2, 3, 3, 2, 3, 2, 2, 3, 2, 1, 2, 3, 0, 3, 3, 0, 2, 3, 3, 3, 3, 3, 0, 2, 3, 2, 3, 1, 2, 2, 2, 2, 1, 0, 3, 3, 3, 0, 0, 0, 0, 0, 2, 2, 3, 2, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 3, 0, 3, 0, 1, 3, 0, 1, 3, 0, 2, 1, 2, 2, 1, 1, 1, 1, 0, 0, 2, 0, 2, 2, 3, 3, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1] 
dag8.txt 5_4_3_2x1.txt 0.25 1 1449984.0 [1, 2, 2, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 3, 1, 0, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 2, 0, 2, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 0, 1, 3, 1, 0, 1, 3, 3, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 2, 1, 1, 3, 1] 
dag8.txt 5_4_3_2x4.txt 0.4632352941176471 1 327680.0 [2, 15, 11, 13, 10, 6, 15, 13, 13, 10, 0, 10, 5, 9, 7, 7, 9, 12, 13, 7, 6, 10, 5, 9, 15, 11, 13, 5, 0, 12, 0, 12, 13, 9, 9, 5, 5, 5, 5, 15, 8, 9, 8, 10, 10, 5, 2, 10, 2, 10, 10, 9, 6, 2, 2, 2, 2, 11, 2, 11, 2, 11, 11, 9, 11, 6, 6, 3, 14, 6, 3, 14, 14, 14, 0, 3, 3, 13, 3, 7, 4, 11, 4, 3, 3, 14, 1, 1, 4, 8, 4, 1, 4] 
dag8.txt 4_1x3.txt 0.3014705882352941 1 1966080.0 [5, 4, 1, 3, 3, 3, 4, 1, 3, 2, 4, 3, 3, 5, 3, 1, 5, 2, 3, 1, 3, 3, 3, 5, 4, 1, 1, 3, 4, 2, 4, 2, 1, 5, 5, 3, 3, 3, 5, 0, 0, 5, 0, 0, 2, 1, 3, 3, 3, 1, 1, 5, 1, 0, 3, 5, 3, 1, 5, 1, 0, 5, 1, 5, 5, 0, 0, 4, 5, 1, 1, 4, 4, 4, 4, 5, 4, 2, 4, 1, 1, 1, 1, 4, 2, 4, 2, 2, 1, 0, 2, 2, 2] 
dag8.txt 3_2x1.txt 0.11029411764705882 1 2932736.0 [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] 
