dagK24.txt 3_2x4.txt True 0.06852791878172589 0.09 894.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 7, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagK24.txt 3_2x4.txt True 0.09137055837563451 0.1 845.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 5, 7, 7, 4, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 5, 4, 7, 7, 7, 7, 5, 7, 5, 7, 7, 7, 7] 
dagK24.txt 3_2x4.txt True 0.09137055837563451 0.11 845.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 5, 7, 7, 4, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 5, 4, 7, 7, 7, 7, 5, 7, 5, 7, 7, 7, 7] 
dagK24.txt 3_2x4.txt True 0.1065989847715736 0.12 868.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 7, 3, 7, 3, 3, 6, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 6, 3, 7, 3, 3, 3, 3] 
dagK24.txt 3_2x4.txt True 0.1065989847715736 0.13 868.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 7, 3, 7, 3, 3, 6, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 6, 3, 7, 3, 3, 3, 3] 
dagK24.txt 3_2x4.txt True 0.1065989847715736 0.14 868.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 7, 3, 7, 3, 3, 6, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 6, 3, 7, 3, 3, 3, 3] 
dagK24.txt 3_2x4.txt True 0.1065989847715736 0.15 868.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 7, 3, 7, 3, 3, 6, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 6, 3, 7, 3, 3, 3, 3] 
dagK24.txt 3_2x4.txt True 0.13959390862944163 0.16 824.5 [7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 7, 0, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 1, 0, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7] 
dagK24.txt 3_2x4.txt True 0.13959390862944163 0.17 824.5 [7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 7, 0, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 1, 0, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7] 
dagK24.txt 3_2x4.txt True 0.13959390862944163 0.18 824.5 [7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 7, 0, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 1, 0, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7] 
dagK24.txt 3_2x4.txt True 0.16243654822335024 0.19 788.25 [7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 4, 5, 4, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 5, 7, 5] 
dagK24.txt 3_2x4.txt True 0.16243654822335024 0.2 788.25 [7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 4, 5, 4, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 5, 7, 5] 
dagK24.txt 3_2x4.txt True 0.16243654822335024 0.25 788.25 [7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 4, 5, 4, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 5, 7, 5] 
dagK24.txt 3_2x4.txt True 0.16243654822335024 0.3 788.25 [7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 4, 5, 4, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 5, 7, 5] 
dagK24.txt 3_2x4.txt True 0.16243654822335024 0.35 788.25 [7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 4, 5, 4, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 5, 7, 5] 
dagK24.txt 3_2x4.txt True 0.16243654822335024 0.4 788.25 [7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 4, 5, 4, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 5, 7, 5] 
dagK24.txt 3_2x4.txt True 0.16243654822335024 0.45 788.25 [7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 4, 5, 4, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 5, 7, 5] 
dagK24.txt 3_2x4.txt True 0.4137055837563452 0.5 276.25 [5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 0, 3, 1, 1, 3, 3, 3, 5, 3, 3, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 1, 0, 4, 4, 1, 3, 3, 1, 3, 1, 0, 1, 1, 3, 1, 3, 1, 1, 1, 0, 1, 1, 1, 4, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 5, 4, 1, 5, 5, 5, 4, 5, 5, 5, 1, 7, 5, 4, 5, 5, 7, 7, 5, 5, 5, 7, 7, 5, 7, 1, 7, 1, 7, 7, 1, 7, 1, 7, 1, 5, 1, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 6, 1, 7, 1] 
dagK24.txt 3_2x4.txt True 0.4619289340101523 0.55 260.0 [7, 7, 7, 3, 5, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 3, 7, 4, 3, 3, 4, 5, 5, 3, 4, 5, 7, 7, 5, 6, 3, 6, 5, 1, 1, 5, 4, 5, 3, 5, 6, 1, 5, 6, 1, 4, 5, 3, 5, 6, 1, 3, 1, 3, 1, 3, 5, 5, 4, 5, 3, 3, 1, 3, 1, 6, 3, 5, 5, 3, 0, 1, 3, 3, 1, 3, 3, 5, 1, 1, 5, 5, 5, 0, 1, 5, 3, 5, 5, 3, 1, 3, 0, 3, 1, 3, 5, 5, 5, 1, 3, 5, 5, 0, 1, 5, 5, 3, 3, 1, 5, 1, 3, 3, 1, 5, 1, 3, 3, 5, 1, 1, 3, 5, 3] 
dagK24.txt 3_2x4.txt True 0.43908629441624364 0.6 247.5 [1, 1, 1, 1, 1, 0, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 0, 1, 3, 2, 3, 1, 3, 1, 1, 3, 1, 1, 2, 3, 5, 5, 2, 5, 3, 3, 1, 2, 3, 3, 5, 3, 2, 3, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 2, 5, 0, 5, 5, 5, 3, 3, 5, 1, 1, 1, 4, 5, 5, 5, 1, 5, 5, 3, 4, 5, 5, 7, 1, 1, 6, 7, 5, 3, 7, 7, 6, 3, 4, 3, 7, 3, 7, 7, 7, 3, 3, 7, 7, 6, 6, 7, 7, 3, 3, 7, 7, 7, 3, 3, 6, 7, 7, 3, 6, 7, 7, 7, 3, 7, 3] 
dagK24.txt 3_2x4.txt True 0.48984771573604063 0.65 250.5 [5, 5, 7, 7, 6, 7, 6, 6, 7, 7, 7, 5, 6, 5, 6, 7, 7, 5, 6, 5, 6, 5, 5, 7, 7, 5, 1, 5, 7, 5, 5, 5, 5, 4, 7, 4, 7, 1, 1, 5, 1, 5, 5, 7, 4, 5, 3, 5, 5, 5, 3, 1, 7, 1, 7, 1, 1, 1, 0, 1, 0, 5, 4, 5, 5, 4, 4, 3, 4, 5, 5, 1, 0, 1, 1, 1, 1, 1, 0, 3, 0, 1, 0, 1, 1, 1, 0, 3, 3, 3, 1, 1, 1, 1, 7, 3, 1, 1, 1, 7, 1, 1, 7, 7, 1, 3, 7, 7, 3, 3, 7, 7, 3, 1, 3, 7, 7, 1, 1, 7, 3, 7, 3, 7, 7, 7, 7, 3, 7, 3] 
dagK24.txt 3_2x4.txt True 0.4746192893401015 0.7 232.0 [3, 3, 5, 5, 5, 5, 5, 3, 5, 3, 5, 3, 5, 5, 5, 5, 2, 3, 3, 3, 0, 3, 3, 2, 2, 3, 0, 3, 1, 3, 3, 3, 3, 0, 2, 0, 0, 3, 1, 3, 3, 3, 3, 1, 3, 1, 6, 1, 1, 1, 7, 1, 1, 6, 1, 6, 1, 3, 1, 3, 1, 1, 0, 3, 1, 1, 1, 7, 1, 6, 1, 1, 6, 1, 5, 6, 6, 1, 7, 7, 1, 1, 5, 1, 1, 7, 1, 5, 5, 1, 5, 7, 5, 5, 5, 1, 7, 7, 7, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 7, 7, 3, 3, 4, 7, 7, 5, 3, 3, 5, 4, 5, 7, 3, 5, 5, 3] 
dagK24.txt 3_2x4.txt True 0.4746192893401015 0.75 232.0 [3, 3, 5, 5, 5, 5, 5, 3, 5, 3, 5, 3, 5, 5, 5, 5, 2, 3, 3, 3, 0, 3, 3, 2, 2, 3, 0, 3, 1, 3, 3, 3, 3, 0, 2, 0, 0, 3, 1, 3, 3, 3, 3, 1, 3, 1, 6, 1, 1, 1, 7, 1, 1, 6, 1, 6, 1, 3, 1, 3, 1, 1, 0, 3, 1, 1, 1, 7, 1, 6, 1, 1, 6, 1, 5, 6, 6, 1, 7, 7, 1, 1, 5, 1, 1, 7, 1, 5, 5, 1, 5, 7, 5, 5, 5, 1, 7, 7, 7, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 7, 7, 3, 3, 4, 7, 7, 5, 3, 3, 5, 4, 5, 7, 3, 5, 5, 3] 
dagK24.txt 3_2x4.txt True 0.5532994923857868 0.8 207.25 [1, 7, 7, 3, 6, 7, 1, 7, 7, 7, 1, 7, 6, 6, 7, 7, 5, 1, 7, 7, 7, 7, 7, 3, 6, 5, 7, 7, 7, 5, 7, 6, 5, 7, 6, 1, 7, 1, 4, 4, 3, 5, 7, 7, 1, 5, 5, 5, 5, 5, 5, 1, 7, 3, 4, 4, 5, 4, 1, 1, 0, 5, 1, 3, 7, 1, 0, 5, 1, 5, 5, 5, 1, 1, 0, 1, 1, 0, 1, 7, 0, 0, 3, 1, 5, 1, 1, 0, 1, 3, 1, 1, 0, 1, 3, 2, 3, 1, 1, 5, 3, 1, 2, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 1, 3, 3, 5, 5, 5, 2, 3, 3, 3, 7, 3, 7, 3, 3, 3, 3] 
dagK24.txt 3_2x4.txt True 0.5177664974619289 0.85 202.75 [7, 7, 7, 7, 7, 1, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 3, 7, 7, 7, 3, 5, 3, 6, 3, 5, 3, 3, 5, 7, 4, 4, 5, 5, 5, 5, 3, 3, 5, 1, 4, 1, 4, 1, 6, 1, 5, 6, 5, 1, 5, 2, 5, 2, 5, 2, 4, 5, 5, 1, 2, 2, 1, 2, 4, 1, 1, 3, 3, 3, 3, 5, 1, 1, 1, 3, 7, 3, 1, 2, 3, 7, 3, 3, 1, 3, 3, 3, 3, 7, 1, 1, 3, 1, 7, 5, 7, 5, 3, 3, 0, 7, 7, 3, 5, 0, 7, 0, 1, 0, 7, 5, 3, 3, 5, 7, 1, 0, 5, 7, 1, 1, 0, 7, 0] 
dagK24.txt 3_2x4.txt True 0.616751269035533 0.9 200.75 [5, 5, 1, 5, 5, 3, 3, 3, 2, 1, 3, 5, 5, 2, 5, 3, 3, 7, 3, 5, 3, 3, 5, 5, 5, 7, 1, 3, 2, 7, 3, 7, 3, 3, 2, 1, 0, 1, 1, 1, 1, 0, 3, 2, 1, 7, 0, 4, 5, 1, 0, 1, 2, 1, 3, 1, 3, 1, 4, 7, 3, 7, 1, 1, 3, 3, 7, 1, 3, 0, 3, 7, 5, 5, 5, 4, 7, 4, 5, 5, 7, 5, 5, 5, 4, 3, 4, 5, 4, 1, 5, 3, 5, 5, 7, 1, 5, 4, 5, 7, 6, 5, 7, 7, 6, 7, 7, 7, 6, 3, 7, 6, 7, 5, 1, 7, 1, 6, 1, 6, 7, 7, 7, 1, 7, 3, 7, 7, 7, 7] 
dagK24.txt 3_2x4.txt True 0.6065989847715736 0.95 202.75 [7, 7, 6, 5, 3, 3, 3, 7, 6, 5, 3, 7, 1, 7, 3, 1, 6, 7, 7, 7, 7, 7, 7, 3, 6, 7, 1, 7, 6, 4, 7, 7, 7, 5, 6, 4, 7, 5, 5, 5, 5, 7, 7, 5, 3, 4, 5, 4, 3, 5, 5, 5, 6, 5, 7, 5, 0, 5, 5, 5, 1, 4, 5, 5, 5, 3, 0, 5, 3, 4, 5, 0, 5, 5, 1, 1, 5, 1, 5, 7, 1, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 3, 1, 3, 7, 1, 3, 1, 1, 2, 2, 3, 7, 3, 7, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 3, 1, 7, 1, 2, 7, 2, 3, 1, 3, 1, 2, 3, 7, 3] 
dagK24.txt 3_2x4.txt True 0.6065989847715736 1 202.75 [7, 7, 6, 5, 3, 3, 3, 7, 6, 5, 3, 7, 1, 7, 3, 1, 6, 7, 7, 7, 7, 7, 7, 3, 6, 7, 1, 7, 6, 4, 7, 7, 7, 5, 6, 4, 7, 5, 5, 5, 5, 7, 7, 5, 3, 4, 5, 4, 3, 5, 5, 5, 6, 5, 7, 5, 0, 5, 5, 5, 1, 4, 5, 5, 5, 3, 0, 5, 3, 4, 5, 0, 5, 5, 1, 1, 5, 1, 5, 7, 1, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 3, 1, 3, 7, 1, 3, 1, 1, 2, 2, 3, 7, 3, 7, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 3, 1, 7, 1, 2, 7, 2, 3, 1, 3, 1, 2, 3, 7, 3] 
dagK24.txt 100_1x1.txt True 0.0 0.07 38.65 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagK24.txt 100_1x1.txt True 0.0 0.08 38.65 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagK24.txt 100_1x1.txt True 0.0 0.09 38.65 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagK24.txt 100_1x1.txt True 0.02030456852791878 0.1 38.32 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
