dagK18.txt 3_2x4.txt True 0.08072916666666667 0.09 847.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.09895833333333333 0.1 835.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.09895833333333333 0.11 835.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.09895833333333333 0.12 835.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.125 0.13 823.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.125 0.14 823.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.14322916666666666 0.15 811.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 1, 7, 7, 7, 4, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.15104166666666666 0.16 991.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 4, 7, 6, 7, 7, 7, 6, 7, 7, 7, 1, 1, 6, 6, 6, 1, 1, 7, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
dagK18.txt 3_2x4.txt True 0.16927083333333334 0.17 904.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 4, 7, 6, 7, 7, 7, 6, 7, 7, 7, 1, 1, 6, 1, 6, 1, 1, 7, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6] 
dagK18.txt 3_2x4.txt True 0.16927083333333334 0.18 904.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 4, 7, 6, 7, 7, 7, 6, 7, 7, 7, 1, 1, 6, 1, 6, 1, 1, 7, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6] 
dagK18.txt 3_2x4.txt True 0.18229166666666666 0.19 864.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 4, 7, 6, 7, 7, 7, 6, 7, 7, 7, 1, 1, 6, 1, 6, 1, 1, 7, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 1, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6] 
dagK18.txt 3_2x4.txt True 0.19791666666666666 0.2 826.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 4, 7, 6, 7, 7, 7, 6, 7, 7, 7, 1, 1, 6, 1, 6, 1, 1, 7, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 1, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6] 
dagK18.txt 3_2x4.txt True 0.23697916666666666 0.25 619.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 4, 7, 6, 7, 7, 7, 6, 7, 7, 7, 1, 1, 1, 1, 6, 1, 1, 7, 1, 6, 6, 1, 1, 1, 6, 6, 6, 1, 1, 6, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6, 1, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6] 
dagK18.txt 3_2x4.txt True 0.2994791666666667 0.3 202.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 1, 4, 0, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 1, 5, 5, 0, 5, 0, 5, 4, 1, 5, 1, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 7, 5, 5, 7, 5, 7, 7, 6, 7, 5, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.3489583333333333 0.35 187.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 1, 3, 3, 3, 3, 2, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 1, 4, 0, 1, 1, 1, 4, 1, 1, 1, 1, 5, 5, 1, 5, 5, 0, 5, 0, 5, 4, 1, 5, 1, 5, 7, 4, 6, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 7, 5, 5, 7, 5, 7, 7, 6, 7, 5, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7] 
dagK18.txt 3_2x4.txt True 0.3984375 0.4 470.0 [0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 3, 0, 1, 1, 1, 3, 1, 1, 0, 1, 3, 0, 3, 2, 1, 1, 3, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 2, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 5, 2, 4, 5, 2, 5, 5, 5, 5, 2, 4, 2, 5, 4, 4, 4, 4, 5, 4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 6, 4, 5, 4, 4, 5, 4, 7, 4, 6, 7, 4, 6, 6, 7, 7, 4, 6, 7, 6, 6, 7, 6, 7, 6, 6, 7, 7, 7, 7, 7, 6, 6, 7, 7, 6, 7, 6, 7, 6, 6, 7, 6, 6] 
dagK18.txt 3_2x4.txt True 0.4453125 0.45 412.0 [1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 2, 1, 0, 0, 3, 2, 0, 0, 0, 0, 2, 1, 3, 2, 0, 0, 3, 3, 2, 2, 3, 3, 0, 3, 3, 2, 3, 2, 0, 3, 7, 3, 3, 2, 2, 1, 2, 2, 3, 2, 7, 7, 3, 6, 7, 3, 3, 7, 7, 7, 2, 6, 4, 6, 7, 7, 1, 7, 6, 7, 6, 6, 7, 7, 6, 6, 7, 6, 6, 4, 7, 6, 6, 6, 6, 6, 5, 7, 4, 5, 6, 4, 4, 5, 5, 6, 4, 5, 4, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 4, 5, 4, 5, 5, 1, 4] 
dagK18.txt 3_2x4.txt True 0.5 0.5 318.0 [1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 2, 0, 0, 0, 0, 2, 1, 3, 2, 1, 0, 3, 3, 2, 2, 3, 3, 0, 3, 3, 1, 3, 2, 0, 3, 7, 3, 3, 2, 2, 1, 2, 2, 3, 2, 7, 7, 3, 6, 7, 3, 3, 7, 7, 7, 2, 6, 4, 3, 7, 7, 1, 7, 6, 7, 6, 6, 7, 7, 6, 6, 7, 1, 1, 1, 7, 6, 6, 6, 6, 6, 5, 7, 7, 5, 6, 4, 4, 5, 5, 6, 4, 5, 4, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 4, 5, 4, 5, 4, 5, 5, 1, 4] 
dagK18.txt 3_2x4.txt True 0.5494791666666666 0.55 272.0 [1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 0, 3, 2, 0, 0, 0, 0, 2, 1, 3, 2, 1, 0, 3, 3, 2, 2, 3, 3, 0, 3, 3, 1, 3, 2, 0, 3, 7, 3, 3, 2, 2, 3, 1, 2, 3, 3, 7, 7, 3, 6, 7, 3, 3, 7, 7, 7, 2, 6, 4, 1, 7, 7, 1, 7, 6, 7, 6, 6, 7, 7, 6, 6, 7, 1, 1, 1, 7, 6, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 4, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 4, 5, 5, 1, 4] 
dagK18.txt 3_2x4.txt True 0.5963541666666666 0.6 202.0 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 3, 3, 1, 1, 1, 1, 5, 0, 0, 3, 2, 0, 0, 0, 0, 2, 1, 3, 2, 1, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 3, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 1, 2, 3, 3, 7, 7, 3, 1, 7, 5, 3, 7, 7, 7, 2, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 1, 1, 7, 6, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 4, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 3_2x4.txt True 0.6276041666666666 0.65 188.25 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 7, 3, 1, 1, 1, 7, 5, 0, 0, 3, 2, 0, 1, 0, 0, 2, 1, 3, 2, 7, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 7, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 7, 2, 3, 3, 7, 7, 3, 1, 7, 7, 3, 7, 7, 7, 1, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 7, 1, 7, 1, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 3_2x4.txt True 0.6276041666666666 0.7 188.25 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 7, 3, 1, 1, 1, 7, 5, 0, 0, 3, 2, 0, 1, 0, 0, 2, 1, 3, 2, 7, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 7, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 7, 2, 3, 3, 7, 7, 3, 1, 7, 7, 3, 7, 7, 7, 1, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 7, 1, 7, 1, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 3_2x4.txt True 0.6276041666666666 0.75 188.25 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 7, 3, 1, 1, 1, 7, 5, 0, 0, 3, 2, 0, 1, 0, 0, 2, 1, 3, 2, 7, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 7, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 7, 2, 3, 3, 7, 7, 3, 1, 7, 7, 3, 7, 7, 7, 1, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 7, 1, 7, 1, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 3_2x4.txt True 0.6276041666666666 0.8 188.25 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 7, 3, 1, 1, 1, 7, 5, 0, 0, 3, 2, 0, 1, 0, 0, 2, 1, 3, 2, 7, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 7, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 7, 2, 3, 3, 7, 7, 3, 1, 7, 7, 3, 7, 7, 7, 1, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 7, 1, 7, 1, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 3_2x4.txt True 0.6276041666666666 0.85 188.25 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 7, 3, 1, 1, 1, 7, 5, 0, 0, 3, 2, 0, 1, 0, 0, 2, 1, 3, 2, 7, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 7, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 7, 2, 3, 3, 7, 7, 3, 1, 7, 7, 3, 7, 7, 7, 1, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 7, 1, 7, 1, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 3_2x4.txt True 0.6276041666666666 0.9 188.25 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 7, 3, 1, 1, 1, 7, 5, 0, 0, 3, 2, 0, 1, 0, 0, 2, 1, 3, 2, 7, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 7, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 7, 2, 3, 3, 7, 7, 3, 1, 7, 7, 3, 7, 7, 7, 1, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 7, 1, 7, 1, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 3_2x4.txt True 0.6276041666666666 0.95 188.25 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 7, 3, 1, 1, 1, 7, 5, 0, 0, 3, 2, 0, 1, 0, 0, 2, 1, 3, 2, 7, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 7, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 7, 2, 3, 3, 7, 7, 3, 1, 7, 7, 3, 7, 7, 7, 1, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 7, 1, 7, 1, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 3_2x4.txt True 0.6276041666666666 1 188.25 [1, 0, 5, 1, 1, 3, 1, 1, 1, 1, 5, 1, 7, 3, 1, 1, 1, 7, 5, 0, 0, 3, 2, 0, 1, 0, 0, 2, 1, 3, 2, 7, 3, 3, 3, 2, 2, 3, 3, 0, 3, 3, 7, 3, 5, 0, 3, 7, 3, 3, 2, 2, 5, 7, 2, 3, 3, 7, 7, 3, 1, 7, 7, 3, 7, 7, 7, 1, 6, 4, 1, 7, 7, 3, 7, 6, 7, 6, 6, 7, 7, 6, 1, 7, 1, 7, 1, 7, 1, 6, 3, 6, 6, 5, 7, 1, 5, 6, 4, 4, 5, 5, 6, 4, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 5, 4, 5, 1, 5, 5, 5, 4] 
dagK18.txt 100_1x1.txt True 0.0546875 0.07 3415.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagK18.txt 100_1x1.txt True 0.07552083333333333 0.08 1752.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagK18.txt 100_1x1.txt True 0.08854166666666667 0.09 1707.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagK18.txt 100_1x1.txt True 0.09114583333333333 0.1 1662.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
