dagJ59.txt 3_2x4.txt True 0.07428571428571429 0.12 741.75 [1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 3, 3, 1, 1, 1, 1, 1, 3, 1, 7, 1] 
dagJ59.txt 3_2x4.txt True 0.10285714285714286 0.13 706.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3] 
dagJ59.txt 3_2x4.txt True 0.11428571428571428 0.14 684.5 [7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 0, 1, 7, 7, 7, 7, 7, 1, 7, 7, 0, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 1, 0, 1] 
dagJ59.txt 3_2x4.txt True 0.11428571428571428 0.15 684.5 [7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 0, 1, 7, 7, 7, 7, 7, 1, 7, 7, 0, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 1, 0, 1] 
dagJ59.txt 3_2x4.txt True 0.14 0.16 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.14 0.17 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.14 0.18 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.14 0.19 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.14 0.2 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.14 0.25 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.14 0.3 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.14 0.35 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.14 0.4 710.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2] 
dagJ59.txt 3_2x4.txt True 0.3457142857142857 0.45 266.0 [1, 3, 1, 3, 1, 1, 1, 3, 1, 3, 3, 1, 1, 3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 7, 1, 3, 6, 1, 7, 3, 7, 6, 7, 1, 3, 1, 7, 7, 6, 7, 1, 7, 6, 7, 6, 7, 1, 1, 1, 1, 7, 7, 7, 7, 7, 5, 7, 1, 7, 4, 5, 6, 5, 5, 4, 4, 5, 5, 5, 5, 4, 4, 4, 5, 5, 4, 5, 5, 7, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5] 
dagJ59.txt 3_2x4.txt True 0.42 0.5 218.0 [1, 7, 7, 7, 1, 1, 1, 7, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 7, 7, 3, 1, 7, 7, 1, 3, 7, 7, 3, 7, 7, 1, 7, 7, 1, 1, 3, 7, 7, 3, 1, 1, 1, 3, 1, 1, 3, 3, 3, 5, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 5, 2, 5, 3, 3, 3, 3, 5, 5, 5, 3, 3, 3, 3, 5, 5, 5, 1, 6, 2, 3, 3, 5, 3, 5, 3, 1, 6, 3, 5, 5, 1, 5, 5, 5, 1, 5, 1, 1, 3, 5, 1, 1, 5, 6, 2, 6, 1, 1, 1, 1, 1, 6, 6, 2, 5, 5] 
dagJ59.txt 3_2x4.txt True 0.4114285714285714 0.55 226.0 [3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 7, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 3, 3, 3, 3, 7, 1, 6, 3, 3, 1, 3, 2, 7, 2, 1, 7, 1, 3, 1, 1, 1, 2, 4, 1, 7, 6, 7, 2, 1, 4, 7, 4, 1, 2, 1, 7, 7, 7, 7, 1, 6, 7, 5, 1, 7, 7, 1, 1, 7, 5, 7, 5, 7, 7, 7, 7, 1, 7, 5, 5, 1, 7, 7, 5, 5, 4, 7, 5, 7, 7, 5, 5, 4, 5, 5, 4, 5, 5, 5, 7, 5, 5, 7, 5, 5, 7, 5, 4, 7] 
dagJ59.txt 3_2x4.txt True 0.46285714285714286 0.6 207.0 [3, 3, 3, 7, 6, 7, 7, 4, 7, 3, 3, 7, 7, 7, 3, 7, 4, 3, 7, 3, 7, 7, 7, 3, 5, 7, 7, 4, 4, 7, 1, 5, 7, 3, 4, 1, 1, 5, 3, 3, 5, 5, 6, 1, 7, 1, 1, 5, 5, 5, 1, 5, 5, 1, 1, 0, 5, 5, 1, 5, 1, 5, 6, 0, 6, 1, 5, 5, 5, 5, 1, 6, 3, 5, 5, 5, 5, 5, 5, 0, 3, 5, 6, 5, 5, 3, 5, 0, 5, 2, 1, 3, 3, 3, 2, 3, 2, 3, 1, 3, 3, 3, 2, 3, 1, 3, 2, 1, 1, 1, 3, 1, 3, 3, 2, 1, 1, 1, 2, 3] 
dagJ59.txt 3_2x4.txt True 0.4714285714285714 0.65 179.0 [3, 7, 7, 1, 3, 3, 3, 7, 3, 3, 7, 3, 3, 7, 7, 3, 3, 1, 2, 3, 2, 1, 1, 7, 1, 3, 7, 3, 3, 1, 1, 2, 3, 3, 1, 1, 1, 0, 3, 3, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 6, 3, 3, 0, 1, 1, 6, 7, 0, 3, 1, 3, 0, 6, 1, 7, 7, 1, 7, 7, 6, 6, 5, 1, 1, 7, 6, 1, 6, 4, 1, 7, 0, 7, 1, 5, 7, 7, 7, 5, 5, 4, 5, 5, 5, 5, 7, 4, 5, 5, 5, 5, 5, 7, 5, 5, 7, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 7, 4] 
dagJ59.txt 3_2x4.txt True 0.4714285714285714 0.7 179.0 [3, 7, 7, 1, 3, 3, 3, 7, 3, 3, 7, 3, 3, 7, 7, 3, 3, 1, 2, 3, 2, 1, 1, 7, 1, 3, 7, 3, 3, 1, 1, 2, 3, 3, 1, 1, 1, 0, 3, 3, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 6, 3, 3, 0, 1, 1, 6, 7, 0, 3, 1, 3, 0, 6, 1, 7, 7, 1, 7, 7, 6, 6, 5, 1, 1, 7, 6, 1, 6, 4, 1, 7, 0, 7, 1, 5, 7, 7, 7, 5, 5, 4, 5, 5, 5, 5, 7, 4, 5, 5, 5, 5, 5, 7, 5, 5, 7, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 7, 4] 
dagJ59.txt 3_2x4.txt True 0.5314285714285715 0.75 183.75 [3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 5, 3, 3, 3, 5, 3, 3, 5, 3, 3, 1, 5, 1, 2, 3, 3, 1, 1, 0, 1, 1, 3, 2, 5, 1, 1, 1, 3, 1, 5, 3, 2, 1, 1, 1, 5, 1, 5, 3, 5, 5, 3, 3, 7, 5, 1, 1, 7, 6, 5, 4, 2, 0, 5, 1, 0, 7, 5, 7, 7, 5, 1, 7, 0, 3, 3, 7, 5, 5, 5, 4, 4, 0, 7, 5, 7, 7, 5, 4, 6, 7, 3, 7, 7, 6, 6, 1, 5, 7, 7, 1, 1, 6, 5, 5, 1, 1, 7, 7, 7, 7, 5, 1, 7, 1, 7, 7, 7, 1, 5] 
dagJ59.txt 3_2x4.txt True 0.5714285714285714 0.8 226.0 [1, 0, 7, 1, 1, 5, 3, 7, 1, 1, 0, 3, 1, 5, 1, 1, 2, 0, 1, 1, 3, 3, 3, 3, 3, 5, 7, 1, 0, 3, 0, 1, 5, 1, 0, 2, 5, 3, 1, 1, 3, 5, 3, 5, 3, 3, 5, 3, 3, 3, 2, 3, 3, 5, 5, 4, 2, 7, 3, 5, 5, 3, 4, 5, 3, 5, 5, 1, 7, 5, 5, 2, 7, 1, 5, 5, 5, 2, 5, 5, 1, 4, 4, 7, 5, 7, 7, 5, 4, 6, 7, 7, 7, 7, 6, 1, 1, 7, 7, 7, 6, 7, 1, 6, 3, 6, 1, 7, 4, 7, 7, 3, 7, 7, 1, 7, 7, 5, 1, 5] 
dagJ59.txt 3_2x4.txt True 0.58 0.85 187.0 [3, 5, 2, 3, 3, 3, 3, 3, 3, 5, 5, 3, 3, 2, 5, 2, 3, 1, 1, 3, 1, 0, 3, 0, 3, 3, 2, 1, 1, 1, 1, 1, 2, 5, 3, 1, 3, 0, 1, 2, 1, 1, 3, 1, 1, 3, 0, 1, 1, 3, 5, 1, 5, 4, 4, 1, 7, 4, 1, 1, 3, 0, 1, 5, 3, 5, 5, 5, 7, 5, 1, 7, 0, 5, 7, 5, 5, 5, 5, 5, 3, 5, 5, 7, 1, 7, 7, 5, 5, 7, 7, 7, 7, 6, 7, 7, 7, 5, 3, 7, 4, 4, 7, 3, 7, 4, 7, 6, 6, 1, 6, 7, 7, 6, 7, 7, 1, 6, 7, 5] 
dagJ59.txt 3_2x4.txt True 0.6171428571428571 0.9 174.5 [0, 3, 7, 7, 1, 1, 1, 2, 7, 2, 7, 1, 1, 3, 7, 1, 2, 1, 3, 0, 1, 3, 0, 3, 7, 1, 5, 0, 3, 3, 1, 5, 3, 3, 2, 1, 1, 1, 0, 3, 3, 3, 1, 1, 5, 5, 3, 3, 6, 7, 5, 3, 5, 1, 2, 3, 3, 2, 1, 5, 3, 7, 1, 5, 1, 5, 1, 5, 1, 1, 5, 5, 7, 5, 1, 7, 6, 5, 5, 5, 7, 1, 1, 3, 6, 7, 3, 5, 6, 7, 4, 7, 5, 5, 7, 7, 3, 3, 4, 5, 7, 7, 7, 4, 3, 6, 3, 7, 4, 5, 5, 4, 7, 5, 7, 7, 5, 4, 3, 3] 
dagJ59.txt 3_2x4.txt True 0.6485714285714286 0.95 185.0 [5, 4, 7, 5, 3, 3, 3, 7, 1, 5, 5, 3, 4, 4, 5, 5, 4, 5, 3, 5, 4, 3, 1, 7, 7, 1, 7, 5, 5, 1, 7, 5, 5, 5, 1, 7, 3, 5, 5, 5, 4, 7, 3, 7, 3, 7, 7, 6, 6, 7, 3, 5, 6, 1, 0, 7, 6, 0, 1, 7, 1, 6, 1, 0, 3, 5, 1, 1, 7, 7, 1, 7, 3, 1, 1, 0, 6, 7, 1, 0, 1, 2, 1, 7, 1, 3, 7, 0, 7, 2, 3, 1, 3, 3, 5, 1, 1, 3, 5, 1, 3, 3, 1, 5, 3, 7, 2, 5, 1, 3, 3, 2, 2, 5, 7, 5, 3, 1, 2, 3] 
dagJ59.txt 3_2x4.txt True 0.6485714285714286 1 185.0 [5, 4, 7, 5, 3, 3, 3, 7, 1, 5, 5, 3, 4, 4, 5, 5, 4, 5, 3, 5, 4, 3, 1, 7, 7, 1, 7, 5, 5, 1, 7, 5, 5, 5, 1, 7, 3, 5, 5, 5, 4, 7, 3, 7, 3, 7, 7, 6, 6, 7, 3, 5, 6, 1, 0, 7, 6, 0, 1, 7, 1, 6, 1, 0, 3, 5, 1, 1, 7, 7, 1, 7, 3, 1, 1, 0, 6, 7, 1, 0, 1, 2, 1, 7, 1, 3, 7, 0, 7, 2, 3, 1, 3, 3, 5, 1, 1, 3, 5, 1, 3, 3, 1, 5, 3, 7, 2, 5, 1, 3, 3, 2, 2, 5, 7, 5, 3, 1, 2, 3] 
dagJ59.txt 100_1x1.txt True 0.0 0.07 31.88 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.0 0.08 31.88 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.0 0.09 31.88 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.0 0.1 31.88 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.0 0.11 31.88 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.0 0.12 31.88 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.014285714285714285 0.13 31.6 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.0 0.14 31.88 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.0 0.15 31.88 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagJ59.txt 100_1x1.txt True 0.011428571428571429 0.16 46.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
