dagL36.txt 3_2x4.txt True 0.06279069767441861 0.07 934.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.07441860465116279 0.08 922.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.08837209302325581 0.09 910.0 [7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.08837209302325581 0.1 910.0 [7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.10697674418604651 0.11 898.0 [7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.11627906976744186 0.12 886.0 [7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.11627906976744186 0.13 886.0 [7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.13953488372093023 0.14 862.5 [7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 1, 1, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.13953488372093023 0.15 862.5 [7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 1, 1, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.15813953488372093 0.16 880.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.15813953488372093 0.17 880.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.17906976744186046 0.18 844.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 6, 1, 7, 6, 7, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.1813953488372093 0.19 844.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 6, 1, 7, 1, 7, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.19767441860465115 0.2 831.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 6, 6, 7, 6, 7, 7, 7, 7, 6, 1, 7, 1, 7, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.24186046511627907 0.25 613.75 [7, 1, 7, 7, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 1, 1, 3, 1, 1, 1, 7, 7, 5, 7, 3, 1, 7, 3, 3, 1, 3, 5, 5, 3, 1, 1, 3, 5, 3, 5, 3, 5, 5, 7, 3, 3, 3, 3, 5, 6, 5, 3, 6, 5, 7, 6, 5, 6, 7, 7, 6, 5, 5, 6, 5, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.29069767441860467 0.3 221.0 [1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 3, 2, 1, 3, 1, 2, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 2, 3, 5, 5, 3, 3, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 7, 4, 5, 5, 5, 6, 5, 5, 7, 5, 5, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL36.txt 3_2x4.txt True 0.3488372093023256 0.35 688.0 [1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 1, 0, 3, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 6, 6, 3, 2, 3, 6, 6, 2, 3, 6, 6, 2, 2, 6, 3, 7, 7, 6, 6, 6, 6, 6, 6, 7, 7, 2, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 5, 7, 7, 7, 7, 5, 6, 7, 5, 7, 7, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 4, 4, 4, 5, 5] 
dagL36.txt 3_2x4.txt True 0.4 0.4 515.0 [6, 6, 7, 6, 6, 6, 6, 7, 7, 6, 7, 6, 6, 6, 7, 6, 6, 5, 7, 6, 6, 6, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 5, 4, 5, 7, 4, 7, 5, 4, 7, 5, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 5, 4, 5, 2, 4, 5, 1, 5, 5, 5, 4, 2, 2, 5, 3, 5, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 0, 2, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] 
dagL36.txt 3_2x4.txt True 0.44883720930232557 0.45 408.0 [6, 6, 7, 6, 6, 6, 1, 7, 7, 6, 7, 6, 6, 6, 7, 6, 6, 5, 7, 6, 1, 6, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 5, 4, 5, 7, 1, 7, 5, 4, 7, 5, 4, 7, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 5, 4, 5, 2, 4, 5, 1, 5, 5, 5, 4, 2, 2, 5, 3, 5, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 0, 3, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] 
dagL36.txt 3_2x4.txt True 0.5 0.5 352.0 [6, 6, 7, 6, 6, 6, 1, 7, 7, 6, 7, 6, 6, 6, 7, 6, 6, 5, 7, 6, 1, 1, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 1, 5, 4, 5, 7, 1, 7, 5, 4, 7, 5, 4, 1, 4, 4, 4, 5, 5, 4, 4, 1, 4, 4, 5, 4, 5, 2, 4, 5, 1, 5, 5, 5, 4, 1, 2, 5, 3, 5, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 3, 2, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 0, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1] 
dagL36.txt 3_2x4.txt True 0.5441860465116279 0.55 256.5 [6, 6, 7, 6, 6, 6, 3, 7, 7, 1, 7, 6, 6, 3, 7, 3, 6, 5, 7, 6, 3, 1, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 1, 5, 4, 5, 7, 1, 7, 5, 3, 7, 5, 4, 1, 4, 4, 4, 5, 5, 3, 4, 1, 4, 4, 5, 4, 5, 2, 1, 5, 3, 5, 5, 5, 4, 1, 2, 5, 3, 5, 5, 3, 3, 2, 2, 2, 3, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 0, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 3, 1, 1, 1, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 1] 
dagL36.txt 3_2x4.txt True 0.5976744186046512 0.6 221.0 [6, 6, 7, 6, 6, 6, 5, 7, 7, 1, 7, 6, 6, 3, 7, 3, 6, 5, 7, 6, 3, 1, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 5, 4, 5, 7, 5, 7, 5, 3, 7, 5, 4, 5, 4, 4, 4, 5, 5, 3, 4, 1, 4, 4, 5, 1, 5, 2, 1, 5, 7, 5, 5, 5, 4, 1, 2, 7, 3, 5, 5, 3, 3, 2, 2, 2, 3, 2, 1, 2, 3, 3, 3, 5, 3, 2, 2, 3, 2, 3, 3, 1, 5, 3, 1, 3, 3, 3, 3, 3, 5, 2, 1, 3, 3, 1, 1, 1, 1, 1, 7, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 5, 1, 1, 1, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 1] 
dagL36.txt 3_2x4.txt True 0.6093023255813953 0.65 202.25 [6, 6, 7, 6, 6, 6, 5, 7, 7, 1, 7, 6, 3, 3, 7, 3, 6, 5, 7, 6, 3, 1, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 5, 4, 5, 7, 5, 7, 5, 3, 7, 5, 4, 5, 4, 4, 4, 5, 5, 3, 4, 1, 4, 4, 5, 1, 5, 3, 1, 5, 7, 5, 5, 5, 4, 1, 2, 7, 7, 7, 5, 3, 3, 2, 2, 2, 3, 2, 1, 2, 3, 3, 3, 5, 3, 2, 2, 3, 2, 3, 3, 1, 5, 3, 1, 3, 3, 3, 3, 3, 5, 2, 1, 3, 3, 1, 1, 1, 1, 1, 7, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 5, 1, 1, 1, 3, 0, 0, 0, 3, 0, 7, 0, 0, 0, 0, 7] 
dagL36.txt 3_2x4.txt True 0.6093023255813953 0.7 202.25 [6, 6, 7, 6, 6, 6, 5, 7, 7, 1, 7, 6, 3, 3, 7, 3, 6, 5, 7, 6, 3, 1, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 5, 4, 5, 7, 5, 7, 5, 3, 7, 5, 4, 5, 4, 4, 4, 5, 5, 3, 4, 1, 4, 4, 5, 1, 5, 3, 1, 5, 7, 5, 5, 5, 4, 1, 2, 7, 7, 7, 5, 3, 3, 2, 2, 2, 3, 2, 1, 2, 3, 3, 3, 5, 3, 2, 2, 3, 2, 3, 3, 1, 5, 3, 1, 3, 3, 3, 3, 3, 5, 2, 1, 3, 3, 1, 1, 1, 1, 1, 7, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 5, 1, 1, 1, 3, 0, 0, 0, 3, 0, 7, 0, 0, 0, 0, 7] 
dagL36.txt 3_2x4.txt True 0.7488372093023256 0.75 429.0 [4, 4, 6, 0, 0, 0, 7, 6, 7, 4, 1, 4, 4, 0, 2, 6, 4, 6, 7, 4, 1, 6, 2, 7, 4, 7, 6, 2, 2, 7, 6, 2, 6, 5, 1, 7, 0, 2, 4, 2, 4, 4, 6, 7, 1, 1, 7, 1, 7, 0, 0, 5, 7, 1, 7, 4, 4, 2, 0, 7, 1, 1, 1, 5, 6, 4, 7, 7, 2, 1, 0, 1, 1, 4, 2, 5, 1, 5, 5, 2, 3, 5, 7, 0, 3, 7, 2, 2, 5, 0, 5, 0, 5, 5, 1, 3, 5, 1, 1, 7, 0, 6, 2, 1, 0, 5, 3, 6, 1, 5, 6, 3, 3, 1, 5, 1, 3, 3, 6, 5, 5, 2, 2, 3, 1, 0, 6, 5, 0, 3, 3, 3, 0, 1, 3, 3, 3, 3, 3, 6] 
dagL36.txt 3_2x4.txt True 0.8 0.8 254.25 [7, 6, 1, 3, 7, 7, 7, 7, 0, 1, 5, 0, 7, 1, 6, 3, 7, 6, 3, 5, 7, 5, 5, 5, 7, 3, 5, 3, 3, 4, 6, 3, 5, 1, 3, 4, 5, 0, 1, 1, 7, 3, 5, 6, 4, 5, 1, 5, 6, 4, 7, 1, 1, 1, 5, 1, 7, 3, 7, 1, 1, 3, 3, 1, 3, 0, 5, 7, 2, 5, 3, 5, 3, 3, 0, 3, 0, 3, 3, 0, 0, 0, 1, 1, 3, 3, 7, 6, 4, 5, 6, 4, 1, 7, 3, 3, 1, 4, 5, 0, 4, 2, 1, 6, 5, 2, 2, 2, 1, 2, 6, 2, 1, 4, 7, 1, 3, 6, 3, 2, 4, 1, 1, 3, 3, 0, 3, 1, 1, 0, 3, 0, 1, 2, 1, 3, 2, 1, 6, 1] 
dagL36.txt 3_2x4.txt True 0.8232558139534883 0.85 204.75 [7, 6, 1, 3, 7, 7, 7, 7, 0, 1, 7, 0, 7, 1, 6, 3, 7, 6, 3, 5, 7, 5, 5, 5, 7, 3, 5, 3, 3, 4, 6, 3, 5, 5, 3, 4, 5, 1, 5, 1, 7, 3, 5, 3, 4, 5, 1, 5, 1, 4, 7, 1, 1, 1, 5, 1, 7, 3, 7, 1, 1, 3, 7, 5, 3, 0, 5, 7, 2, 7, 3, 5, 3, 3, 0, 3, 0, 3, 3, 0, 1, 0, 1, 1, 3, 5, 7, 6, 4, 5, 6, 4, 7, 7, 5, 3, 1, 5, 5, 0, 4, 1, 7, 6, 5, 2, 2, 2, 1, 2, 6, 2, 7, 4, 7, 1, 3, 6, 3, 2, 4, 1, 1, 3, 5, 0, 3, 1, 1, 0, 3, 0, 1, 2, 3, 3, 2, 1, 6, 7] 
dagL36.txt 3_2x4.txt True 0.8232558139534883 0.9 204.75 [7, 6, 1, 3, 7, 7, 7, 7, 0, 1, 7, 0, 7, 1, 6, 3, 7, 6, 3, 5, 7, 5, 5, 5, 7, 3, 5, 3, 3, 4, 6, 3, 5, 5, 3, 4, 5, 1, 5, 1, 7, 3, 5, 3, 4, 5, 1, 5, 1, 4, 7, 1, 1, 1, 5, 1, 7, 3, 7, 1, 1, 3, 7, 5, 3, 0, 5, 7, 2, 7, 3, 5, 3, 3, 0, 3, 0, 3, 3, 0, 1, 0, 1, 1, 3, 5, 7, 6, 4, 5, 6, 4, 7, 7, 5, 3, 1, 5, 5, 0, 4, 1, 7, 6, 5, 2, 2, 2, 1, 2, 6, 2, 7, 4, 7, 1, 3, 6, 3, 2, 4, 1, 1, 3, 5, 0, 3, 1, 1, 0, 3, 0, 1, 2, 3, 3, 2, 1, 6, 7] 
dagL36.txt 3_2x4.txt True 0.8232558139534883 0.95 204.75 [7, 6, 1, 3, 7, 7, 7, 7, 0, 1, 7, 0, 7, 1, 6, 3, 7, 6, 3, 5, 7, 5, 5, 5, 7, 3, 5, 3, 3, 4, 6, 3, 5, 5, 3, 4, 5, 1, 5, 1, 7, 3, 5, 3, 4, 5, 1, 5, 1, 4, 7, 1, 1, 1, 5, 1, 7, 3, 7, 1, 1, 3, 7, 5, 3, 0, 5, 7, 2, 7, 3, 5, 3, 3, 0, 3, 0, 3, 3, 0, 1, 0, 1, 1, 3, 5, 7, 6, 4, 5, 6, 4, 7, 7, 5, 3, 1, 5, 5, 0, 4, 1, 7, 6, 5, 2, 2, 2, 1, 2, 6, 2, 7, 4, 7, 1, 3, 6, 3, 2, 4, 1, 1, 3, 5, 0, 3, 1, 1, 0, 3, 0, 1, 2, 3, 3, 2, 1, 6, 7] 
dagL36.txt 3_2x4.txt True 0.8232558139534883 1 204.75 [7, 6, 1, 3, 7, 7, 7, 7, 0, 1, 7, 0, 7, 1, 6, 3, 7, 6, 3, 5, 7, 5, 5, 5, 7, 3, 5, 3, 3, 4, 6, 3, 5, 5, 3, 4, 5, 1, 5, 1, 7, 3, 5, 3, 4, 5, 1, 5, 1, 4, 7, 1, 1, 1, 5, 1, 7, 3, 7, 1, 1, 3, 7, 5, 3, 0, 5, 7, 2, 7, 3, 5, 3, 3, 0, 3, 0, 3, 3, 0, 1, 0, 1, 1, 3, 5, 7, 6, 4, 5, 6, 4, 7, 7, 5, 3, 1, 5, 5, 0, 4, 1, 7, 6, 5, 2, 2, 2, 1, 2, 6, 2, 7, 4, 7, 1, 3, 6, 3, 2, 4, 1, 1, 3, 5, 0, 3, 1, 1, 0, 3, 0, 1, 2, 3, 3, 2, 1, 6, 7] 
